2343,2297,2371,2511,2520,2567,2567,2557,2511,2464,2399,2334,2315,2325,2288,2315,2418,2492,2641,2753,2845,2994,3115,3059,3069,2901,2771,2362,1804,716,223,84,37,28,19,9,0
2343,2297,2371,2511,2539,2576,2576,2585,2548,2492,2418,2371,2353,2362,2343,2427,2548,2613,2762,2864,2901,3004,3097,3078,3124,2957,3041,2808,2111,995,335,158,65,28,19,9,0
2343,2306,2371,2511,2548,2585,2594,2613,2585,2520,2446,2408,2390,2399,2399,2539,2678,2734,2883,2976,2966,3022,3078,3097,3171,3022,3310,3236,2418,1274,446,223,93,37,28,9,0
2343,2306,2381,2520,2548,2585,2604,2622,2622,2576,2501,2474,2474,2483,2501,2678,2864,2929,2985,3115,3069,3162,3245,3273,3376,3506,3924,3794,2929,1823,902,456,214,56,28,9,0
2343,2306,2390,2520,2557,2594,2604,2632,2669,2622,2557,2548,2557,2567,2594,2818,3050,3124,3097,3245,3162,3292,3431,3459,3580,3999,4538,4352,3431,2362,1367,670,325,74,37,19,0
2343,2315,2390,2529,2557,2594,2613,2650,2678,2641,2585,2567,2594,2613,2641,2818,3115,3264,3283,3357,3264,3543,3813,4008,4212,4557,4769,4380,3878,2873,1906,1051,437,149,56,19,0
2343,2315,2399,2539,2557,2585,2622,2669,2697,2660,2622,2594,2622,2650,2687,2818,3162,3413,3478,3478,3376,3794,4194,4557,4844,5123,5002,4417,4315,3385,2464,1423,549,223,84,28,0
2343,2325,2408,2548,2557,2604,2641,2678,2706,2687,2650,2650,2687,2762,2827,2948,3255,3571,3747,3859,3775,4008,4389,4769,5095,5346,5030,4649,4287,3273,2306,1358,586,223,74,19,0
2343,2334,2418,2548,2557,2632,2650,2678,2725,2706,2687,2706,2753,2864,2976,3078,3338,3729,4008,4250,4185,4222,4575,4974,5346,5569,5058,4890,4259,3162,2148,1293,623,214,65,19,0
2343,2343,2418,2548,2576,2641,2660,2697,2743,2734,2743,2771,2836,2948,3078,3217,3441,3775,4045,4324,4408,4566,4983,5207,5383,5374,5216,4714,3906,2855,1943,1172,511,177,56,19,0
2343,2343,2427,2548,2594,2650,2669,2715,2762,2771,2790,2845,2929,3041,3180,3366,3543,3822,4082,4398,4622,4909,5392,5448,5420,5179,5374,4538,3543,2539,1758,1051,391,149,46,19,0
