20, 32.2, 42.9, 51, 54.6, 52.2, 44.9, 34.5, 22.5, 9.69, 6.98, 0, 0
22.4, 35.7, 47.9, 57.8, 62.9, 60.3, 51.7, 40, 27, 13.3, 8.59, 0, 0
27.2, 41.3, 54.9, 67, 73.5, 68.6, 57.1, 43.6, 29.5, 15.2, 0.72, 12.8, 0
32.1, 46.7, 61.1, 75.4, 85, 73.6, 59.3, 44.8, 30.3, 15.9, 1.54, 3.3, 17.7
34.4, 48.5, 62.7, 76.7, 85.3, 73.2, 59.1, 45, 30.8, 16.8, 2.93, 6.39, 20.3
33.9, 47.7, 61.4, 74.3, 81.4, 72.5, 59.4, 45.7, 31.9, 18.2, 4.7, 6.65, 20.2
32.3, 46.3, 60.2, 73.8, 83.3, 74.7, 61.2, 47.3, 33.3, 19.4, 5.72, 4.75, 18.4
31.8, 46.3, 60.8, 75.3, 89.1, 75.5, 61, 46.5, 32, 17.7, 3.51, 3.34, 17.5
31.8, 46.2, 60.2, 72.8, 78.3, 69.5, 56.2, 42.1, 27.6, 13.1, 2.85, 17.3, 0
30.3, 43.7, 55.8, 64.7, 66.5, 59.8, 48.7, 35.7, 21.9, 7.85, 2.2, 16.4, 0
26.5, 38.6, 48.9, 55.7, 56.8, 51.8, 42.4, 30.9, 18.1, 4.74, 0, 13.5, 0
22.6, 34.2, 44, 50.6, 52.4, 48.6, 40.6, 30, 18, 5.18, 10, 0, 0
